iter	Passed	Remaining
0	40	40550
1	85	42872
2	128	42644
3	169	42304
4	215	42976
5	252	41906
6	295	41873
7	334	41504
8	377	41566
9	416	41280
10	454	40838
11	495	40799
12	536	40709
13	576	40575
14	616	40471
15	657	40451
16	696	40292
17	734	40066
18	774	39973
19	810	39706
20	853	39787
21	890	39580
22	928	39444
23	971	39497
24	1008	39328
25	1050	39347
26	1088	39225
27	1128	39174
28	1172	39255
29	1214	39269
30	1257	39305
31	1303	39436
32	1346	39444
33	1389	39475
34	1429	39407
35	1474	39474
36	1513	39395
37	1580	40012
38	1625	40062
39	1668	40032
40	1707	39927
41	1749	39895
42	1788	39806
43	1832	39808
44	1872	39740
45	1909	39611
46	1957	39697
47	2005	39783
48	2047	39732
49	2087	39656
50	2122	39496
51	2163	39450
52	2205	39411
53	2247	39373
54	2286	39294
55	2325	39201
56	2367	39170
57	2409	39133
58	2462	39277
59	2505	39255
60	2548	39237
61	2592	39218
62	2635	39200
63	2684	39257
64	2724	39197
65	2764	39126
66	2809	39120
67	2853	39105
68	2892	39024
69	2932	38962
70	2973	38901
71	3012	38831
72	3051	38752
73	3092	38694
74	3131	38619
75	3175	38609
76	3214	38536
77	3257	38508
78	3296	38428
79	3340	38411
80	3379	38339
81	3424	38334
82	3469	38328
83	3495	38118
84	3533	38033
85	3578	38034
86	3621	38005
87	3670	38041
88	3720	38085
89	3774	38164
90	3824	38207
91	3862	38118
92	3904	38081
93	3945	38031
94	3983	37944
95	4024	37895
96	4067	37862
97	4109	37827
98	4151	37781
99	4192	37732
100	4233	37682
101	4270	37596
102	4310	37537
103	4349	37476
104	4390	37425
105	4430	37368
106	4476	37356
107	4520	37338
108	4562	37291
109	4604	37258
110	4641	37176
111	4682	37124
112	4724	37087
113	4768	37061
114	4822	37115
115	4872	37128
116	4916	37106
117	4965	37115
118	5003	37040
119	5041	36969
120	5081	36914
121	5121	36854
122	5164	36822
123	5215	36846
124	5263	36846
125	5306	36806
126	5345	36747
127	5381	36661
128	5418	36587
129	5457	36525
130	5500	36485
131	5533	36389
132	5571	36320
133	5608	36247
134	5649	36197
135	5686	36128
136	5726	36072
137	5762	35996
138	5802	35940
139	5840	35877
140	5877	35809
141	5920	35774
142	5960	35720
143	6002	35681
144	6046	35652
145	6096	35659
146	6148	35677
147	6190	35639
148	6233	35604
149	6273	35548
150	6316	35514
151	6357	35466
152	6398	35419
153	6435	35353
154	6477	35311
155	6522	35288
156	6558	35214
157	6595	35148
158	6641	35126
159	6681	35076
160	6721	35025
161	6761	34977
162	6804	34942
163	6844	34892
164	6882	34829
165	6928	34808
166	6964	34737
167	7006	34697
168	7046	34650
169	7086	34600
170	7125	34546
171	7167	34503
172	7216	34495
173	7252	34426
174	7300	34414
175	7350	34414
176	7398	34400
177	7435	34335
178	7473	34279
179	7515	34238
180	7555	34187
181	7595	34138
182	7642	34117
183	7680	34059
184	7719	34009
185	7756	33943
186	7792	33878
187	7829	33815
188	7869	33767
189	7910	33723
190	7953	33686
191	8000	33667
192	8045	33641
193	8092	33619
194	8134	33582
195	8180	33557
196	8223	33521
197	8268	33492
198	8308	33443
199	8348	33392
200	8389	33349
201	8433	33315
202	8480	33297
203	8527	33272
204	8571	33241
205	8612	33194
206	8653	33152
207	8695	33111
208	8739	33074
209	8776	33017
210	8818	32975
211	8860	32936
212	8902	32893
213	8947	32861
214	8989	32821
215	9032	32783
216	9075	32745
217	9112	32688
218	9152	32639
219	9192	32590
220	9231	32541
221	9268	32480
222	9312	32447
223	9357	32416
224	9396	32367
225	9436	32319
226	9478	32278
227	9516	32223
228	9554	32168
229	9597	32129
230	9641	32097
231	9691	32083
232	9755	32114
233	9794	32062
234	9832	32008
235	9869	31950
236	9906	31893
237	9946	31844
238	9984	31791
239	10025	31748
240	10064	31697
241	10102	31644
242	10150	31619
243	10192	31581
244	10237	31548
245	10277	31499
246	10316	31449
247	10360	31415
248	10403	31378
249	10445	31336
250	10486	31293
251	10527	31248
252	10574	31220
253	10615	31178
254	10660	31145
255	10701	31101
256	10744	31062
257	10782	31009
258	10818	30952
259	10860	30909
260	10900	30864
261	10941	30821
262	10980	30770
263	11025	30738
264	11061	30679
265	11096	30618
266	11133	30565
267	11173	30519
268	11210	30463
269	11249	30415
270	11292	30377
271	11340	30353
272	11376	30295
273	11420	30259
274	11462	30220
275	11501	30171
276	11545	30133
277	11589	30100
278	11635	30069
279	11680	30035
280	11731	30018
281	11775	29981
282	11810	29922
283	11849	29873
284	11887	29823
285	11928	29779
286	11968	29732
287	12010	29691
288	12052	29651
289	12098	29621
290	12146	29592
291	12188	29552
292	12226	29501
293	12268	29460
294	12308	29414
295	12346	29365
296	12381	29307
297	12437	29300
298	12481	29261
299	12520	29213
300	12561	29170
301	12599	29121
302	12638	29073
303	12674	29018
304	12713	28969
305	12760	28940
306	12797	28887
307	12849	28870
308	12898	28844
309	12942	28807
310	12982	28762
311	13021	28713
312	13061	28668
313	13099	28618
314	13139	28573
315	13180	28530
316	13220	28485
317	13256	28430
318	13300	28392
319	13348	28365
320	13398	28341
321	13448	28317
322	13488	28271
323	13529	28228
324	13571	28186
325	13622	28164
326	13663	28121
327	13699	28067
328	13737	28017
329	13778	27974
330	13815	27923
331	13853	27874
332	13890	27822
333	13927	27771
334	13968	27728
335	14004	27674
336	14041	27625
337	14078	27573
338	14115	27523
339	14153	27474
340	14198	27438
341	14238	27394
342	14276	27345
343	14319	27306
344	14360	27264
345	14399	27218
346	14441	27177
347	14499	27166
348	14553	27147
349	14604	27122
350	14647	27082
351	14690	27044
352	14732	27003
353	14774	26961
354	14813	26914
355	14852	26867
356	14894	26827
357	14935	26783
358	14977	26742
359	15019	26701
360	15056	26651
361	15096	26606
362	15134	26559
363	15169	26505
364	15206	26454
365	15244	26407
366	15282	26359
367	15322	26313
368	15360	26267
369	15402	26225
370	15441	26179
371	15480	26133
372	15526	26098
373	15569	26060
374	15610	26017
375	15651	25974
376	15693	25933
377	15738	25898
378	15787	25867
379	15830	25829
380	15879	25799
381	15924	25762
382	15967	25723
383	16017	25694
384	16057	25650
385	16101	25612
386	16144	25572
387	16189	25536
388	16227	25488
389	16272	25451
390	16313	25409
391	16355	25366
392	16392	25319
393	16431	25272
394	16471	25228
395	16510	25182
396	16551	25139
397	16588	25091
398	16635	25057
399	16685	25028
400	16727	24987
401	16772	24949
402	16816	24911
403	16861	24875
404	16907	24840
405	16949	24797
406	16995	24762
407	17038	24723
408	17083	24684
409	17120	24637
410	17157	24588
411	17197	24543
412	17237	24500
413	17281	24460
414	17324	24421
415	17372	24387
416	17415	24348
417	17457	24307
418	17499	24264
419	17539	24221
420	17583	24182
421	17625	24141
422	17664	24095
423	17704	24051
424	17746	24010
425	17788	23968
426	17830	23927
427	17873	23886
428	17918	23849
429	17954	23800
430	17995	23756
431	18035	23713
432	18080	23676
433	18126	23639
434	18177	23609
435	18220	23569
436	18265	23532
437	18312	23496
438	18349	23448
439	18384	23398
440	18423	23353
441	18467	23314
442	18504	23266
443	18546	23224
444	18589	23185
445	18632	23143
446	18669	23096
447	18713	23058
448	18752	23012
449	18794	22970
450	18831	22923
451	18868	22876
452	18908	22831
453	18949	22789
454	18989	22746
455	19034	22708
456	19075	22664
457	19121	22628
458	19164	22588
459	19204	22544
460	19246	22503
461	19292	22466
462	19333	22423
463	19391	22400
464	19463	22393
465	19514	22362
466	19547	22310
467	19586	22265
468	19630	22225
469	19669	22180
470	19712	22139
471	19753	22096
472	19793	22052
473	19828	22003
474	19867	21958
475	19908	21915
476	19947	21871
477	19985	21824
478	20028	21784
479	20067	21739
480	20107	21696
481	20147	21652
482	20190	21612
483	20229	21567
484	20273	21527
485	20316	21487
486	20357	21444
487	20397	21400
488	20441	21360
489	20480	21316
490	20529	21281
491	20577	21246
492	20627	21212
493	20669	21171
494	20716	21134
495	20753	21088
496	20793	21044
497	20833	21000
498	20876	20960
499	20917	20917
500	20961	20877
501	21002	20834
502	21045	20794
503	21093	20758
504	21139	20720
505	21182	20680
506	21223	20636
507	21271	20601
508	21313	20559
509	21350	20513
510	21392	20471
511	21433	20428
512	21474	20386
513	21517	20345
514	21558	20302
515	21602	20263
516	21644	20221
517	21685	20178
518	21730	20139
519	21777	20101
520	21820	20061
521	21863	20020
522	21903	19976
523	21944	19934
524	21986	19892
